houseno,name,phone_number
A1,Tenant 1,0700000001
A2,Tenant 2,0700000002
A3,Tenant 3,0700000003
A4,Tenant 4,0700000004
A5,Tenant 5,0700000005
A6,Tenant 6,0700000006
A7,Tenant 7,0700000007
A8,Tenant 8,0700000008
A9,Tenant 9,0700000009
A10,Tenant 10,0700000010
B1,Tenant 11,0700000011
B2,Tenant 12,0700000012
B3,Tenant 13,0700000013
B4,Tenant 14,0700000014
B5,Tenant 15,0700000015
B6,Tenant 16,0700000016
B7,Tenant 17,0700000017
B8,Tenant 18,0700000018
B9,Tenant 19,0700000019
B10,Tenant 20,0700000020
C1,Tenant 21,0700000021
C2,Tenant 22,0700000022
C3,Tenant 23,0700000023
C4,Tenant 24,0700000024
C5,Tenant 25,0700000025
C6,Tenant 26,0700000026
C7,Tenant 27,0700000027
C8,Tenant 28,0700000028
C9,Tenant 29,0700000029
C10,Tenant 30,0700000030
D1,Tenant 31,0700000031
D2,Tenant 32,0700000032
D3,Tenant 33,0700000033
D4,Tenant 34,0700000034
D5,Tenant 35,0700000035
D6,Tenant 36,0700000036
D7,Tenant 37,0700000037
D8,Tenant 38,0700000038
D9,Tenant 39,0700000039
D10,Tenant 40,0700000040
E1,Tenant 41,0700000041
E2,Tenant 42,0700000042
E3,Tenant 43,0700000043
E4,Tenant 44,0700000044
E5,Tenant 45,0700000045
E6,Tenant 46,0700000046
E7,Tenant 47,0700000047
E8,Tenant 48,0700000048
E9,Tenant 49,0700000049
E10,Tenant 50,0700000050
F1,Tenant 51,0700000051
F2,Tenant 52,0700000052
F3,Tenant 53,0700000053
F4,Tenant 54,0700000054
F5,Tenant 55,0700000055
F6,Tenant 56,0700000056
F7,Tenant 57,0700000057
F8,Tenant 58,0700000058
F9,Tenant 59,0700000059
F10,Tenant 60,0700000060
G1,Tenant 61,0700000061
G2,Tenant 62,0700000062
G3,Tenant 63,0700000063
G4,Tenant 64,0700000064
G5,Tenant 65,0700000065
G6,Tenant 66,0700000066
G7,Tenant 67,0700000067
G8,Tenant 68,0700000068
G9,Tenant 69,0700000069
G10,Tenant 70,0700000070
